GeoName,Year,All industry total,Personal income (thousands of dollars),Population (persons) 3/,Total employment,Wages and salaries
"Fulton, IN",2013,0.006329414,0.013415294,0.015727861,0.010382818,0.00618632
"Gibson, IN",2013,0.03257504,0.02705515,0.029367371,0.029729099,0.028916328
"Grant, IN",2013,0.027849799,0.052040034,0.068248222,0.046349204,0.03307622
"Greene, IN",2013,0.005637251,0.021472129,0.02833775,0.011979417,0.005383494
"Hamilton, IN",2013,0.166325681,0.436577981,0.315123242,0.239721981,0.200977627
"Hancock, IN",2013,0.024406832,0.068643836,0.070271885,0.040939054,0.02815667
"Harrison, IN",2013,0.009657446,0.029063858,0.035243217,0.019309706,0.009827601
"Hendricks, IN",2013,0.057616543,0.150715296,0.159843498,0.101698444,0.065580736
"Henry, IN",2013,0.01176642,0.033207555,0.046494654,0.020990707,0.012238001
"Howard, IN",2013,0.052879323,0.06508478,0.083072604,0.063644522,0.055321394
"Huntington, IN",2013,0.01445743,0.027220912,0.033263758,0.023467898,0.014936428
"Jackson, IN",2013,0.02158563,0.034372292,0.041091031,0.031552176,0.023854733
"Jasper, IN",2013,0.016749183,0.028243919,0.029394324,0.01965716,0.013653558
"Jay, IN",2013,0.00836666,0.013073638,0.016472854,0.011990671,0.006954392
"Jefferson, IN",2013,0.015147799,0.023166044,0.028792724,0.020031341,0.014065542
"Jennings, IN",2013,0.006217792,0.017412353,0.023993937,0.01111852,0.007388968
"Johnson, IN",2013,0.047927288,0.140962515,0.15085507,0.089989112,0.055644491
"Knox, IN",2013,0.019042563,0.03100968,0.034479896,0.028403992,0.020123273
"Kosciusko, IN",2013,0.050701661,0.071463562,0.077856578,0.062811759,0.054860413
"LaPorte, IN",2013,0.045932406,0.09247114,0.114591936,0.071927144,0.051094229
"Lagrange, IN",2013,0.013652149,0.025778397,0.034727867,0.025583568,0.014469334
"Lake, IN",2013,0.258711204,0.438446846,0.527762025,0.338466365,0.290777564
"Lawrence, IN",2013,0.012527223,0.031994124,0.042858098,0.023127478,0.013546709
"Madison, IN",2013,0.038106392,0.09602848,0.134200012,0.06958359,0.044135111
"Marion, IN",2013,1,1,1,1,1
"Marshall, IN",2013,0.017947356,0.035513311,0.044091486,0.030959957,0.019848921
"Martin, IN",2013,0.008444586,0.003245374,0.004463487,0.008933922,0.013120798
"Miami, IN",2013,0.00895905,0.021225009,0.032759189,0.015484902,0.009883687
"Monroe, IN",2013,0.0650111,0.110659017,0.143938822,0.11672195,0.079342339
